H_Metric_Title,L_Metric_Level,Metric_Date,Gap,Action,Driver,Resolution,Recovery_Date
Fuel Handling Equipment Reliability Index (COG),BA,2021-01-01,"FH ERI at Bruce A has suffered a steady decline since May2020, due to increased unplanned unavailability (Mean Time Between Failures / Mean Time to Repair)","Four High imapact Teams established consisting of members from FH EPT, FH Design and BWXT setup  to fast track actions to address repeat equipment challenges / Functional Failures by end of Q2 2021.  O. Abdallah / G. Wolfe, 30Jun2021 
Increased focus on high priority backlogs for the short term to get them back to acceptable number (≤ 8) FH EPT TCD28Feb2021 
Develop and implement Fuel handling Dashboard that periodically assess the risk associated with degraded equipment in FM trolley /NFM/IFDM quadrant. Incorporate use of scorecards into decision making process for FH equipment utilization (i.e. fueling vs maintenance vs non-fueling activities) O.Abdallah 19Feb2021 
Institute Daily FH  PAR to ensure any gaps / delays in fueling or maintenance activities (utilization) in the past 24 hours are identified and acted upon.  Institute daily and weekend afternoon touchpoint to ensure scheduled work is progressing and all stakeholders are aligned with the three shift look ahead and fuel strategy Owner FH ops Completed in Q4 2020
Investigate other efficiencies and alignment opportunities between BA and BB fuel handling including LEAN initiatives  Owner O. Abdallah TCD 01Mar2021 
Establish trolley complement rules for FH Shift Operations vacation planning/approval. B. Alexander, 31Mar2021
Establish stocking parameters for stations and B16 and add fuel handing commodity code to unique FH items Owner A.Christie/L Miranda TCD 05Mar2021
Build a work down curve for the 3200 unique Fuel Handling Items to achieve stocking parameters.  Report to be updated and reviewed weekly on the FH HIT meeting. Owner A.Christie/L.Miranda /C.Inkratas TCD 12Mar2021
","1. Repeat equipment issues on air compressor SVs, Suspension latches, FM gearbox clutches / brakes and IFM pumps.
2. Trolley utilization inefficiencies have led to loss of maintenance windows in 2020
3. FH Parts availability challenges (online, outage, emergent, repairable spares) increasing MTTR and preventing completion of PMs","FH ERI Improved to meet targets for 2021 and no derates, outages or outage extensions caused due to fuel handling equipment health or parts challenges. This is targeted to be achieved in Q4",NULL
Fuel Handling Equipment Reliability Index (COG),BA,2021-02-01,"Unplanned Unavailability (14 points)
Functional Failures  (7 points)
New ERI guidelines reduced score by 10-12 points 
","Identify part needed: Owner EPT, complete 12Feb2021
Bridging strategy: HIT teams, Owner: cross functional team, in progress
Develop and execute procurement strategy to address stockout TCD 12Mar2021
BA/BB best practice alignment: Inverter sharing, OP Data enhancement, in progress
Streamline processes: assessing, work protection, OPS, maintenance, in progress
Maintenance and Operation execution GAPS: PAR meetings, in progress
Treat FH activities as outage critical path at all times: issue manager expectations: 21Dec2020
Maintain commitment to priorities listed in EE NK21-EE-U0-10-NOV-20, in progress
Fast track short term and long term strategic funding , in progress
Intolerance to equipment failures: EROC meetings , in progress
HIT teams established to fast track actions for Air compressor, Latches/Clutches/Brakes, IFM pumps 
","Parts availability- 30% work is rescheduled due to parts unavailability, On-site inventory insufficient
Trolley utilization - Ineffeciencies: Process, People, equipment
Competing  priorities:Trolley demand Fueling, Outages, FSISP, MCR/ Projects, Mtce program, BA PRD work 
Equipment challenges and Backlog work - Past service life, Reapeat long standing equipment failures","FH ERI Improved to meet targets for 2021 and no derates, outages or outage extensions caused due to fuel handling equipment health or parts challenges. This is targeted to be achieved in Q4",NULL
Fuel Handling Equipment Reliability Index (COG),BA,2021-03-01,Fuel Handling Equipment Reliability Index (COG ERI) is less than industry excellence target (85 points) for 2021,NULL,"DRIVER 1: Competing priorities for BA fuel handling with online fueling, 10 months outage support, MCR3 must do pre-req work, FSISP inspections, NPC PRD repairs, CSA ACU replacements etc 
In summary, Fuel handling requires more maintenance windows than it has ever required to support upcoming deliverables into 2022 and beyond. However maintaining status quo, it will get less maintenance windows than previous years due to ~10 months of outage support posing significant business risk. Full trolley utilization required to ensure trolley health to maintain support programs in 2021 and beyond. 

DRIVER 2: Unplanned Unavailability and functional failure ERI sub-indicators less than target and significant contributors to ERI decline.

DRIVER 3:  Maintenance Performance and Trolley utilization inefficiencies have resulted in longer Mean Time to Repair impacting unplanned unavailability and ERI. 
DRIVER 4:  FH Parts availability challenges (online, outage, emergent, repairable spares) posing a risk to increased trolley unavailability posing a threat to online units as well as outage critical path impacts 
DRVER 5:  New ERI scoring criteria introduced by COG to include Non-critical PMs and backlogs which is expected to have ~10 point reduction in scores","FH ERI Improved to meet targets for 2021 and no derates, outages or outage extensions caused due to fuel handling equipment health or parts challenges. This is targeted to be achieved in Q4. ",NULL
Fuel Handling Equipment Reliability Index (COG),BA,2021-04-01,Fuel Handling Equipment Reliability Index (COG ERI) is less than industry excellence target (85 points) for 2021,"1) Engineering Evaluation completed outlining ~$105M risk for 2021 and beyond and key actions to reduce risk to ~12M and accepted by ops. Key actions  tracked under SCR#47069. 2) Implement Trolley utilization to monitor and manage Trolley time. Owner: FH Ops with FH EPT support TCD 30June2021.  3) High Impact Teams established consisting of members from FH EPT, FH Design and BWXT setup to fast track actions to address repeat equipment challenges / Functional Failures for air compressor, suspension latches, gearbox clutches and brakes, Irradiated fuel discharge pumps with updates provided at SPHC and FH Equipment Reliability Oversight Committee. 4) FH EPT presentation to IOC to fast track long term strategic funding, design and implementation for key projects / design changes for equipment reliability health improvements. TCD for 30Jun 2021. 5) Rework investigations completed on failures per process and action plans developed to prevent reoccurrence including follow up with personnel for maintenance induced rework – TCD Ongoing. 6) Complete Lean Six Sigma workout session to improve FH processes and behaviors to drive efficiency and improved trolley utilization – Kickoff meeting Complete and 3 day workout session to be scheduled by 30June. 7) Progress work down of stocked out fuel handling parts. Owner: Ross Thompson TCD In progress at rate of ~20 items /week. Currently at ~418 parts stocked out as of 07May. 8) Issue contract to BWXT to support procurement of critical fuel handling spares and address stocked out items- Owner: Ross Thompson / Ben Palmer TCD 31May. 9) FH ERI targets for BA updated to 70% for Q4 2021 to reflect new scoring criteria TCD Complete. 10) FH utilities to evaluate ERI using new COG guidelines and feedback to be discussed at Q2 peer group meeting to confirm/establish new targets for excellence with new guidelines.


","DRIVER 1: Competing priorities for BA fuel handling with online fueling, 10 months outage support, MCR3 must do pre-req work, FSISP inspections, NPC PRD repairs, CSA ACU replacements etc 
In summary, Fuel handling requires more maintenance windows than it has ever required to support upcoming deliverables into 2022 and beyond. However maintaining status quo, it will get less maintenance windows than previous years due to ~10 months of outage support posing significant business risk. Full trolley utilization required to ensure trolley health to maintain support programs in 2021 and beyond. 

DRIVER 2: Unplanned Unavailability and functional failure ERI sub-indicators less than target and significant contributors to ERI decline.

DRIVER 3:  Maintenance Performance and Trolley utilization inefficiencies have resulted in longer Mean Time to Repair impacting unplanned unavailability and ERI. 
DRIVER 4:  FH Parts availability challenges (online, outage, emergent, repairable spares) posing a risk to increased trolley unavailability posing a threat to online units as well as outage critical path impacts 
DRVER 5:  New ERI scoring criteria introduced by COG to include Non-critical PMs and backlogs which is expected to have ~10 point reduction in scores","FH ERI Improved to meet targets for 2021 and no derates, outages or outage extensions caused due to fuel handling equipment health or parts challenges. This is targeted to be achieved in Q4.",NULL
Fuel Handling Equipment Reliability Index (COG),BA,2021-05-01,Fuel Handling Equipment Reliability Index (COG ERI) is less than industry excellence target (85 points) for 2021,"1)Engineering Evaluation completed outlining ~$105M risk for 2021 and beyond and key actions to reduce risk to ~12M and accepted by ops. Key actions  tracked under SCR#47069. 2) Implementation of full inverter sharing between outage support and maintenance activities/fueling and other non-fueling activities – Owner: Brady Alexander Complete. TCD was delayed resulting in some missed opportunities during A2111
3) High Impact Teams established consisting of members from FH EPT, FH Design and BWXT setup to fast track actions to address repeat equipment challenges / Functional Failures for air compressor, suspension latches, gearbox clutches and brakes, Irradiated fuel discharge pumps with updates provided at SPHC and FH Equipment Reliability Oversight Committee. 4) FH EPT presentation to IOC to fast track long term strategic funding, design and implementation for key projects / design changes for equipment reliability health improvements. TCD for 30Jun 2021. 5) Rework investigations completed on failures per process and action plans developed to prevent reoccurrence including follow up with personnel for maintenance induced rework – TCD Ongoing. 6)	Implement work execution efficiencies based on OPEX from BB / Darlington. TCD Ongoing. BA recently implemented a major change in practice to replace inner gearbox clutches in situ on the trolley vs head pull resulting in reducing trolley unavailability from 4-5 shifts to 1-2 shifts. 7) Establish HIT with FH EPT and supply chain to manually track and escalate known FH parts risks to support online, outage, project, emergent and repairable spares – FH EPT/Supply Chain. In effect with weekly meetings. 8) FH to validate List of 3200 cat ids provided by Supply Chain, the focus is to validate items in the list that are required for stock and whether they should be kept in one of the stations. TCD Complete 9) FH ERI targets for BA updated to 70% for Q4 2021 to reflect new scoring criteria TCD Complete.
10) FH utilities to evaluate ERI using new COG guidelines and feedback to be discussed at peer group meeting to confirm/establish new targets for excellence with new guidelines. TCD Q3 2021","DRIVER 1: Competing priorities for BA fuel handling with online fueling, 10 months outage support, MCR3 must do pre-req work, FSISP inspections, NPC PRD repairs, CSA ACU replacements etc 
In summary, Fuel handling requires more maintenance windows than it has ever required to support upcoming deliverables into 2022 and beyond. However maintaining status quo, it will get less maintenance windows than previous years due to ~10 months of outage support posing significant business risk. Full trolley utilization required to ensure trolley health to maintain support programs in 2021 and beyond. DRIVER 2: Unplanned Unavailability and functional failure ERI sub-indicators less than target and significant contributors to ERI decline. DRIVER 3:  Maintenance Performance and Trolley utilization inefficiencies have resulted in longer Mean Time to Repair impacting unplanned unavailability and ERI.  DRIVER 3:  Maintenance Performance and Trolley utilization inefficiencies have resulted in longer Mean Time to Repair impacting unplanned unavailability and ERI. DRVER 5:  New ERI scoring criteria introduced by COG to include Non-critical PMs and backlogs which is expected to have ~10 point reduction in scores.
","FH ERI Improved to meet targets for 2021 and no derates, outages or outage extensions caused due to fuel handling equipment health or parts challenges. This is targeted to be achieved in Q4. ",NULL
Fuel Handling Equipment Reliability Index (COG),BA,2021-06-01,Fuel Handling Equipment Reliability Index (COG ERI) is less than industry excellence target (85 points) for 2021,"1. 1 Implement Trolley utilization to monitor and manage Trolley time. Owner FH Engineering TCD 30JUL2021 
1.2 Implementation of full inverter sharing between outage support and maintenance activities/fueling and other non-fueling activities – Owner: Brady Alexander Complete. TCD was delayed resulting in some missed opportunities during A2111
2.1  High Impact Teams established consisting of members from FH EPT, FH Design and BWXT setup to fast track actions to address repeat equipment challenges / Functional Failures for air compressor, suspension latches, gearbox clutches and brakes, Irradiated fuel discharge pumps with updates provided at SPHC and FH Equipment Reliability Oversight Committee
2.2 FH EPT presentation to IOC to fast track long term strategic funding, design and implementation for key projects /design changes for equipment reliability health improvements. TCD for 30Jun 2021 for BMRC presentation
3.1  Rework investigations completed on failures per process and action plans developed to prevent reoccurrence including follow up with personnel for maintenance induced rework – TCD Ongoing
3.2 Implement work execution efficiencies based on OPEX from BB / Darlington. TCD Ongoing. BA recently implemented a major change in practice to replace inner gearbox clutches in situ on the trolley vs head pull resulting in reducing trolley unavailability from 4-5 shifts to 1-2 shifts
4.1 Establish HIT with FH EPT and supply chain to manually track and escalate known FH parts risks to support online, outage, project, emergent and repairable spares – FH EPT/Supply Chain. In effect with weekly meetings
4.2 FH to validate List of 3200 cat ids provided by Supply Chain, the focus is to validate items in the list that are required for stock and whether they should be kept in one of the stations. TCD Complete 
5.1 FH ERI targets for BA updated to 70% for Q4 2021 to reflect new scoring criteria TCD Complete
5.2 FH utilities to evaluate ERI using new COG guidelines and feedback to be discussed at peer group meeting to confirm/establish new targets for excellence with new guidelines. TCD 30SEP2021","1. Competing priorities for BA fuel handling with online fueling, 10 months outage support, MCR3 must do pre-req work, FSISP inspections, NPC PRD repairs, CSA ACU replacements etc. In summary, Fuel handling requires more maintenance windows than it has ever required to support upcoming deliverables into 2022 and beyond. However maintaining status quo, it will get less maintenance windows than previous years due to ~10 months of outage support posing significant business risk. Full trolley utilization required to ensure trolley health to maintain support programs in 2021 and beyond
2. Unplanned Unavailability and functional failure ERI sub-indicators less than target and significant contributors to ERI decline
3. Maintenance Performance and Trolley utilization inefficiencies have resulted in longer Mean Time to Repair impacting unplanned unavailability and ERI
4. FH Parts availability challenges (online, outage, emergent, repairable spares) posing a risk to increased trolley unavailability posing a threat to online units as well as outage critical path impacts
5. New ERI scoring criteria introduced by COG to include Non-critical PMs and backlogs which is expected to have ~10 point reduction in scores","FH ERI Improved to meet targets for 2021 and no derates, outages or outage extensions caused due to fuel handling equipment health or parts challenges. This is targeted to be achieved in Q4. ",NULL
Fuel Handling Equipment Reliability Index (COG),BA,2021-07-01,Fuel Handling Equipment Reliability Index (COG ERI) is less than industry excellence target (85 points) for 2021,"1. 1 Engineering Evaluation completed outlining ~$105M risk for 2021 and beyond and key actions to reduce risk to ~12M and accepted by ops. Key actions  tracked under SCR#47069
1.2 Implementation of full inverter sharing between outage support and maintenance activities/fueling and other non-fueling activities – Owner: Brady Alexander Complete. TCD was delayed resulting in some missed opportunities during A2111
2.1  High Impact Teams established consisting of members from FH EPT, FH Design and BWXT setup to fast track actions to address repeat equipment challenges / Functional Failures for air compressor, suspension latches, gearbox clutches and brakes, Irradiated fuel discharge pumps with updates provided at SPHC and FH Equipment Reliability Oversight Committee
2.2 FH EPT presentation to BMRC, IMC to fast track long term strategic funding, design and implementation for key projects /design changes for equipment reliability health improvements. BRMC and IMC presentation complete in August 2021. Plan endorsed and next steps to complete business case  TCD TBE: 31Aug2021
3.1  Rework investigations completed on failures per process and action plans developed to prevent reoccurrence including follow up with personnel for maintenance induced rework – TCD Ongoing
3.2 Implement work execution efficiencies based on OPEX from BB / Darlington. TCD Ongoing. BA recently implemented a major change in practice to replace inner gearbox clutches in situ on the trolley vs head pull resulting in reducing trolley unavailability from 4-5 shifts to 1-2 shifts
4.1 Establish HIT with FH EPT and supply chain to manually track and escalate known FH parts risks to support online, outage, project, emergent and repairable spares – FH EPT/Supply Chain. In effect with weekly meetings
4.2 Evaluate dedicated parts warehousing strategy for fuel handling consumables to avoid fuel handling stock usage for non-fuel handling end uses.  Owner: R.Thompson TCD Q4 
5.1 FH ERI targets for BA updated to 70% for Q4 2021 to reflect new scoring criteria TCD Complete
5.2 FH utilities to evaluate ERI using new COG guidelines and feedback to be discussed at peer group meeting to confirm/establish new targets for excellence with new guidelines. TCD 30SEP2021","1. Competing priorities for BA fuel handling with online fueling, 10 months outage support, MCR3 must do pre-req work, FSISP inspections, NPC PRD repairs, CSA ACU replacements etc. In summary, Fuel handling requires more maintenance windows than it has ever required to support upcoming deliverables into 2022 and beyond. However maintaining status quo, it will get less maintenance windows than previous years due to ~10 months of outage support posing significant business risk. Full trolley utilization required to ensure trolley health to maintain support programs in 2021 and beyond
2. Unplanned Unavailability and functional failure ERI sub-indicators less than target and significant contributors to ERI decline
3. Maintenance Performance and Trolley utilization inefficiencies have resulted in longer Mean Time to Repair impacting unplanned unavailability and ERI
4. FH Parts availability challenges (online, outage, emergent, repairable spares) posing a risk to increased trolley unavailability posing a threat to online units as well as outage critical path impacts
5. New ERI scoring criteria introduced by COG to include Non-critical PMs and backlogs which is expected to have ~10 point reduction in scores","FH ERI Improved to meet targets for 2021 and no derates, outages or outage extensions caused due to fuel handling equipment health or parts challenges. This is targeted to be achieved in Q4.",NULL
Fuel Handling Equipment Reliability Index (COG),BA,2021-08-01,Fuel Handling Equipment Reliability Index (COG ERI) is less than industry excellence target (85 points) for 2021,"1. 1 Engineering Evaluation completed outlining ~$105M risk for 2021 and beyond and key actions to reduce risk to ~12M and accepted by ops. Key actions  tracked under SCR#47069
1.2 Implementation of full inverter sharing between outage support and maintenance activities/fueling and other non-fueling activities – Owner: Brady Alexander Complete. TCD was delayed resulting in some missed opportunities during A2111
2.1  High Impact Teams established consisting of members from FH EPT, FH Design and BWXT setup to fast track actions to address repeat equipment challenges / Functional Failures for air compressor, suspension latches, gearbox clutches and brakes, Irradiated fuel discharge pumps with updates provided at SPHC and FH Equipment Reliability Oversight Committee
2.2 FH EPT presentation to BMRC, IMC to fast track long term strategic funding, design and implementation for key projects /design changes for equipment reliability health improvements. BRMC and IMC presentation complete in August 2021. Plan endorsed and next steps are a) present Racers for top 4 priority projects to IMAIS & IMC. TCD: 31Oct2021, b) Go/ No Go decision on self-funded business cases by TCD 15Oct2021, c) Update CNO and CFO TCD 15Oct2021, d) Present at IOC. TCD 15Nov2021
3.1  Rework investigations completed on failures per process and action plans developed to prevent reoccurrence including follow up with personnel for maintenance induced rework – TCD Ongoing
3.2 Implement work execution efficiencies based on OPEX from BB / Darlington. TCD Ongoing. BA recently implemented a major change in practice to replace inner gearbox clutches in situ on the trolley vs head pull resulting in reducing trolley unavailability from 4-5 shifts to 1-2 shifts
4.1 Establish HIT with FH EPT and supply chain to manually track and escalate known FH parts risks to support online, outage, project, emergent and repairable spares – FH EPT/Supply Chain. In effect with weekly meetings
4.2 Evaluate dedicated parts warehousing strategy for fuel handling consumables to avoid fuel handling stock usage for non-fuel handling end uses.  Owner: R.Thompson TCD Q4 2021
5.1 FH ERI targets for BA updated to 70% for Q4 2021 to reflect new scoring criteria TCD Complete
5.2 FH utilities to evaluate ERI using new COG guidelines and feedback to be discussed at peer group meeting to confirm/establish new targets for excellence with new guidelines. TCD 30SEP2021","1. Competing priorities for BA fuel handling with online fueling, 10 months outage support, MCR3 must do pre-req work, FSISP inspections, NPC PRD repairs, CSA ACU replacements etc. In summary, Fuel handling requires more maintenance windows than it has ever required to support upcoming deliverables into 2022 and beyond. However maintaining status quo, it will get less maintenance windows than previous years due to ~10 months of outage support posing significant business risk. Full trolley utilization required to ensure trolley health to maintain support programs in 2021 and beyond
2. Unplanned Unavailability and functional failure ERI sub-indicators less than target and significant contributors to ERI decline
3. Maintenance Performance and Trolley utilization inefficiencies have resulted in longer Mean Time to Repair impacting unplanned unavailability and ERI
4. FH Parts availability challenges (online, outage, emergent, repairable spares) posing a risk to increased trolley unavailability posing a threat to online units as well as outage critical path impacts
5. New ERI scoring criteria introduced by COG to include Non-critical PMs and backlogs which is expected to have ~10 point reduction in scores","FH ERI Improved to meet targets for 2021 and no derates, outages or outage extensions caused due to fuel handling equipment health or parts challenges. This is targeted to be achieved in Q4.",NULL
Fuel Handling Equipment Reliability Index (COG),BA,2021-09-01,Fuel Handling Equipment Reliability Index (COG ERI) is less than industry excellence target (85 points) for 2021,"1. 1 Implement Trolley utilization to monitor and manage Trolley time. Owner:  FH Engineering TCD Phase 1 implemented as of July 2021 and Phase 2 in progress TCD Q4 2021
1.2 Implementation of full inverter sharing between outage support and maintenance activities/fueling and other non-fueling activities – Owner: Brady Alexander Complete. TCD was delayed resulting in some missed opportunities during A2111
2.1  High Impact Teams established consisting of members from FH EPT, FH Design and BWXT setup to fast track actions to address repeat equipment challenges / Functional Failures for air compressor, suspension latches, gearbox clutches and brakes, Irradiated fuel discharge pumps with updates provided at SPHC and FH Equipment Reliability Oversight Committee
2.2 FH EPT presentation to BMRC, IMC to fast track long term strategic funding, design and implementation for key projects / design changes for equipment reliability health improvements. Owner: FH Engineering. TCD: BRMC and IMC presentation complete in August 2021. Plan endorsed and next steps are to 
a) Update CNO and CFO TCD 15OCT2021 TCD Complete, b) Follow up meeting with CNO/CFO 26OCT2021, c) Present at IOC 29OCT2021, d) Present Racers for top 4 priority projects to IMAIS & IMC, TCD: 30NOV2021, e)	Go / No Go decision on self-funded business cases by TCD 30NOV2021, f)	Provide update at IOC TCD 15DEC2021
3.1  Rework investigations completed on failures per process and action plans developed to prevent reoccurrence including follow up with personnel for maintenance induced rework – TCD Ongoing
3.2 Complete Lean Six Sigma workout session to improve FH processes and behaviors to drive efficiency and improved trolley utilization TCD complete and follow up actions tracked under SCR# 97334 with biweekly oversight meetings on status of action plans. TCD for completion of all actions Q1 2022. 
4.1 Provide detailed inventory stock out work down plans which will also include FH spare targets for stock outs. Owner: Dave Eddie, TCD: 31AUG Complete. TCD to achieve industry excellence <3% FH stock outs  Oct2022
4.2 Evaluate dedicated parts warehousing strategy for fuel handling consumables to avoid fuel handling stock usage for non-fuel handling end uses.  Owner: R.Thompson TCD Q4 2021
5.1 FH utilities to evaluate ERI using new COG guidelines and feedback to be discussed at peer group meeting to confirm/establish new targets for excellence with new guidelines. TCD Complete. Targets remain at 85% for top quartile. 
6.1 Biweekly touch points setup with BA and EPD VPs to provide update on fuel handling performance, status and look ahead on risks and actions to mitigate. Owner: T. Howard/B.Alexander TCD Ongoing ","1. Competing priorities for BA fuel handling with online fueling, 10 months outage support, MCR3 must do pre-req work, FSISP inspections, NPC PRD repairs, CSA ACU replacements etc. In summary, Fuel handling requires more maintenance windows than it has ever required to support upcoming deliverables into 2022 and beyond. However maintaining status quo, it will get less maintenance windows than previous years due to ~10 months of outage support posing significant business risk. Full trolley utilization required to ensure trolley health to maintain support programs in 2021 and beyond
2. Unplanned Unavailability and functional failure ERI sub-indicators less than target and significant contributors to ERI decline
3. Maintenance Performance and Trolley utilization inefficiencies have resulted in longer Mean Time to Repair impacting unplanned unavailability and ERI
4. FH Parts availability challenges (online, outage, emergent, repairable spares) posing a risk to increased trolley unavailability posing a threat to online units as well as outage critical path impacts
5. New ERI scoring criteria introduced by COG to include Non-critical PMs and backlogs which is expected to have ~10 point reduction in scores
6. Operations resource Challenges due to A2131 outage support and vacation posing a significant risk to maintenance windows, MCR3 pre-req work, equipment reliability recovery, FSISP inspections as well as continued online fueling and outage support in Q3 2021.","FH ERI Improved to meet targets for 2021 and no derates, outages or outage extensions caused due to fuel handling equipment health or parts challenges. This is targeted to be achieved in Q4.",NULL
Fuel Handling Equipment Reliability Index (COG),BA,2021-10-01,Fuel Handling Equipment Reliability Index (COG ERI) is less than industry excellence target (85 points) for 2021,"1.1 Engineering Evaluation completed outlining ~$105M risk for 2021 and beyond and key actions to reduce risk to ~12M and accepted by ops. Key actions  tracked under SCR#47069
1.2 Implementation of full inverter sharing between outage support and maintenance activities/fueling and other non-fueling activities – Owner: Brady Alexander Complete. TCD was delayed resulting in some missed opportunities during A2111.
2.1 High Impact Teams established consisting of members from FH EPT, FH Design and BWXT setup to fast track actions to address repeat equipment challenges / Functional Failures for air compressor, suspension latches, gearbox clutches and brakes, Irradiated fuel discharge pumps with updates provided at SPHC and FH Equipment Reliability Oversight Committee. 
2.2 FH EPT presentation to BMRC, IMC to fast track long term strategic funding, design and implementation for key projects / design changes for equipment reliability health improvements. Owner: FH Engineering. TCD: BRMC and IMC presentation complete in August 2021. Plan endorsed and next steps are to: a)	Update CNO and CFO TCD 15OCT2021 TCD Complete b)	Follow up meeting with CNO/CFO 26OCT2021 Complete c)	Present Racers for top 3 priority projects to IMAIS and IMC, TCD: Complete d) Present overall Fuel Handling Improvement strategy for endorsement at IOC TCD 15DEC2021
3.1 Implement work execution efficiencies based on OPEX from BB / Darlington. TCD Ongoing. BA recently implemented a major change in practice to replace inner gearbox clutches in situ on the trolley vs head pull resulting in reducing trolley unavailability from 4-5 shifts to 1-2 shifts. 
3.2 Complete Lean Six Sigma workout session to improve FH processes and behaviors to drive efficiency and improved trolley utilization TCD complete and follow up actions tracked under SCR# 97334 with biweekly oversight meetings on status of action plans. TCD for completion of all actions Q1 2022. 
4.1 Implement kits procurement strategy with BWXT for top fuel handling spare overhauls.  Owner: Ross Thompson. In progress with top 5 kits in flight and top 15 to be in flight by end of Q4 2021. POs issues for top 5 kits with parts arrival in Q1/Q2 2022.
4.2 Evaluate dedicated parts warehousing strategy for fuel handling consumables to avoid fuel handling stock usage for non-fuel handling end uses.  Owner: Ross Thompson TCD Q4 2021
5.1 FH ERI targets for BA updated to 70% for Q4 2021 to reflect new scoring criteria TCD Complete
5.2 FH utilities to evaluate ERI using new COG guidelines and feedback to be discussed at peer group meeting to confirm/establish new targets for excellence with new guidelines. TCD Complete.  Targets remain at 85% for top quartile. 
6.1 Operations and Maintenance to ensure resource profiles secured to meet the commitments for idle windows for the year. Owner: B. Alexander/ T. Howard TCD Complete Confirmed to not be an issue as of 20Sep2021 
6.2 Biweekly touch points setup with BA and EPD VPs to provide update on fuel handling performance, status and look ahead on risks and actions to mitigate. Owner: T. Howard/B.Alexander TCD Ongoing ","DRIVER 1: Competing priorities for BA fuel handling with online fueling, 10 months outage support, MCR3 must do pre-req work, FSISP inspections, NPC PRD repairs, CSA ACU replacements etc. 
In summary, Fuel handling requires more maintenance windows than it has ever required supporting upcoming deliverables into 2022 and beyond. However maintaining status quo, it will get less maintenance windows than previous years due to ~10 months of outage support posing significant business risk. Full trolley utilization required to ensure trolley health to maintain support programs in 2021 and beyond. 
DRIVER 2: Unplanned Unavailability and Functional failure ERI sub-indicators less than target and significant contributors to ERI decline.
DRIVER 3:  Maintenance Performance and Trolley utilization inefficiencies have resulted in longer Mean Time to Repair impacting unplanned unavailability and ERI. 
DRIVER 4:  FH Parts availability challenges (online, outage, emergent, repairable spares) posing a risk to increased trolley unavailability posing a threat to online units as well as outage critical path impacts 
DRIVER 5:  New ERI scoring criteria introduced by COG to include Non-critical PMs and backlogs which is expected to have ~10 point reduction in scores 
DRIVER 6: Operations resource Challenges due to A2131 outage support and vacation posing a significant risk to maintenance windows, MCR3 pre-req work, equipment reliability recovery, FSISP inspections as well as continued online fueling and outage support in Q3 2021","FH ERI Improved to meet targets for 2021 and no derates, outages or outage extensions caused due to fuel handling equipment health or parts challenges. This is targeted to be achieved in Q4. ",NULL
